====================================================================
LEVEL 2: LLM + Classical MPC Safety Filter | Env: cartpole
Seed: 42 | Wind: 40-80 | Magnitude: 0.4
Horizon: 8 steps | dt: 0.02s
====================================================================
Step   0            | LLM: +0.050 -> MPC: +0.338 (corr 0.288) | Pole: +0.0363 | Violation: 0
Step   1            | LLM: +0.050 -> MPC: +0.343 (corr 0.293) | Pole: +0.0367 | Violation: 0
Step   2            | LLM: +0.050 -> MPC: +0.349 (corr 0.299) | Pole: +0.0372 | Violation: 0
Step   3            | LLM: +0.050 -> MPC: +0.354 (corr 0.304) | Pole: +0.0377 | Violation: 0
Step   4            | LLM: +0.050 -> MPC: +0.360 (corr 0.310) | Pole: +0.0383 | Violation: 0
Step   5            | LLM: +0.050 -> MPC: +0.366 (corr 0.316) | Pole: +0.0388 | Violation: 0
Step   6            | LLM: +0.050 -> MPC: +0.372 (corr 0.322) | Pole: +0.0394 | Violation: 0
Step   7            | LLM: +0.050 -> MPC: +0.378 (corr 0.328) | Pole: +0.0400 | Violation: 0
Step   8            | LLM: +0.050 -> MPC: +0.385 (corr 0.335) | Pole: +0.0407 | Violation: 0
Step   9            | LLM: +0.050 -> MPC: +0.391 (corr 0.341) | Pole: +0.0413 | Violation: 0
Step  10            | LLM: +0.050 -> MPC: +0.398 (corr 0.348) | Pole: +0.0420 | Violation: 0
Step  11            | LLM: +0.050 -> MPC: +0.405 (corr 0.355) | Pole: +0.0428 | Violation: 0
Step  12            | LLM: +0.050 -> MPC: +0.412 (corr 0.362) | Pole: +0.0435 | Violation: 0
Step  13            | LLM: +0.050 -> MPC: +0.420 (corr 0.370) | Pole: +0.0443 | Violation: 0
Step  14            | LLM: +0.050 -> MPC: +0.427 (corr 0.377) | Pole: +0.0451 | Violation: 0
Step  15            | LLM: +0.050 -> MPC: +0.435 (corr 0.385) | Pole: +0.0459 | Violation: 0
Step  16            | LLM: +0.050 -> MPC: +0.443 (corr 0.393) | Pole: +0.0468 | Violation: 0
Step  17            | LLM: +0.050 -> MPC: +0.451 (corr 0.401) | Pole: +0.0477 | Violation: 0
Step  18            | LLM: +0.050 -> MPC: +0.460 (corr 0.410) | Pole: +0.0487 | Violation: 0
Step  19            | LLM: +0.050 -> MPC: +0.469 (corr 0.419) | Pole: +0.0496 | Violation: 0
Step  20            | LLM: +0.050 -> MPC: +0.478 (corr 0.428) | Pole: +0.0506 | Violation: 0
Step  21            | LLM: +0.050 -> MPC: +0.488 (corr 0.438) | Pole: +0.0517 | Violation: 0
Step  22            | LLM: +0.050 -> MPC: +0.497 (corr 0.447) | Pole: +0.0528 | Violation: 0
Step  23            | LLM: +0.050 -> MPC: +0.507 (corr 0.457) | Pole: +0.0539 | Violation: 0
Step  24            | LLM: +0.050 -> MPC: +0.518 (corr 0.468) | Pole: +0.0550 | Violation: 0
